キー,建物用途,室用途,年間照明点灯時間
O-1,事務所等,事務室,3133
O-2,事務所等,電子計算機器事務室,3133
O-3,事務所等,会議室,2169
O-4,事務所等,喫茶室,2169
O-5,事務所等,社員食堂,723
O-6,事務所等,中央監視室,8760
O-7,事務所等,更衣室又は倉庫,3133
O-8,事務所等,廊下,3133
O-9,事務所等,ロビー,3133
O-10,事務所等,便所,3133
O-11,事務所等,喫煙室,3133
O-12,事務所等,厨房,2000
O-13,事務所等,屋内駐車場,3500
O-14,事務所等,機械室,200
O-15,事務所等,電気室,200
O-16,事務所等,湯沸室等,1000
O-17,事務所等,食品庫等,1000
O-18,事務所等,印刷室等,1000
O-19,事務所等,廃棄物保管場所等,1000
H-1,ホテル等,客室,2920
H-2,ホテル等,客室内の浴室等,2920
H-3,ホテル等,終日利用されるフロント,8760
H-4,ホテル等,終日利用される事務室,8760
H-5,ホテル等,終日利用される廊下,8760
H-6,ホテル等,終日利用されるロビー,8760
H-7,ホテル等,終日利用される共用部の便所,8760
H-8,ホテル等,終日利用される喫煙室,8760
H-9,ホテル等,宴会場,4380
H-10,ホテル等,会議室,4380
H-11,ホテル等,結婚式場,4380
H-12,ホテル等,レストラン,4745
H-13,ホテル等,ラウンジ,5110
H-14,ホテル等,バー,2190
H-15,ホテル等,店舗,3650
H-16,ホテル等,社員食堂,5110
H-17,ホテル等,更衣室又は倉庫,8760
H-18,ホテル等,日中のみ利用されるフロント,4745
H-19,ホテル等,日中のみ利用される事務室,5475
H-20,ホテル等,日中のみ利用される廊下,4745
H-21,ホテル等,日中のみ利用されるロビー,4745
H-22,ホテル等,日中のみ利用される共用部の便所,4745
H-23,ホテル等,日中のみ利用される喫煙室,4745
H-24,ホテル等,厨房,3200
H-25,ホテル等,屋内駐車場,8760
H-26,ホテル等,機械室,320
H-27,ホテル等,電気室,320
H-28,ホテル等,湯沸室等,1600
H-29,ホテル等,食品庫等,1600
H-30,ホテル等,印刷室等,1600
H-31,ホテル等,廃棄物保管場所等,1600
D-1,病院等,病室,5110
D-2,病院等,浴室等,5110
D-3,病院等,看護職員室,5110
D-4,病院等,終日利用される廊下,8760
D-5,病院等,終日利用されるロビー,8760
D-6,病院等,終日利用される共用部の便所,8760
D-7,病院等,終日利用される喫煙室,8760
D-8,病院等,診察室,2818
D-9,病院等,待合室,2818
D-10,病院等,手術室,2920
D-11,病院等,検査室,2920
D-12,病院等,集中治療室,8760
D-13,病院等,解剖室等,2628
D-14,病院等,レストラン,4380
D-15,病院等,事務室,2628
D-16,病院等,更衣室又は倉庫,2628
D-17,病院等,日中のみ利用される廊下,2920
D-18,病院等,日中のみ利用されるロビー,2920
D-19,病院等,日中のみ利用される共用部の便所,2920
D-20,病院等,日中のみ利用される喫煙室,2920
D-21,病院等,厨房,5500
D-22,病院等,屋内駐車場,8760
D-23,病院等,機械室,550
D-24,病院等,電気室,550
D-25,病院等,湯沸室等,2800
D-26,病院等,食品庫等,2800
D-27,病院等,印刷室等,2800
D-28,病院等,廃棄物保管場所等,2800
S-1,物品販売業を営む店舗等,大型店の売場,4745
S-2,物品販売業を営む店舗等,専門店の売場,4745
S-3,物品販売業を営む店舗等,スーパーマーケットの売場,4745
S-4,物品販売業を営む店舗等,荷さばき場,2920
S-5,物品販売業を営む店舗等,事務室,4745
S-6,物品販売業を営む店舗等,更衣室又は倉庫,4745
S-7,物品販売業を営む店舗等,ロビー,4745
S-8,物品販売業を営む店舗等,便所,4745
S-9,物品販売業を営む店舗等,喫煙室,4745
S-10,物品販売業を営む店舗等,厨房,3400
S-11,物品販売業を営む店舗等,屋内駐車場,5500
S-12,物品販売業を営む店舗等,機械室,340
S-13,物品販売業を営む店舗等,電気室,340
S-14,物品販売業を営む店舗等,湯沸室等,1700
S-15,物品販売業を営む店舗等,食品庫等,1700
S-16,物品販売業を営む店舗等,印刷室等,1700
S-17,物品販売業を営む店舗等,廃棄物保管場所等,1700
E-1,学校等,小中学校の教室,1568
