キー,建物用途名称,室用途名称,地域区分1における床面積あたりの基準一次エネルギー消費量,地域区分2における床面積あたりの基準一次エネルギー消費量,地域区分3における床面積あたりの基準一次エネルギー消費量,地域区分4における床面積あたりの基準一次エネルギー消費量,地域区分5における床面積あたりの基準一次エネルギー消費量,地域区分6における床面積あたりの基準一次エネルギー消費量,地域区分7における床面積あたりの基準一次エネルギー消費量,地域区分8における床面積あたりの基準一次エネルギー消費量
O-1,事務所等,事務室,1060,1063,995,1018,1084,1173,1180,1478
O-2,事務所等,電子計算機器事務室,1063,1068,1146,1173,1284,1386,1418,1787
O-3,事務所等,会議室,1303,1287,1109,1126,1167,1246,1241,1567
O-4,事務所等,喫茶室,1303,1287,1109,1126,1167,1246,1241,1567
O-5,事務所等,社員食堂,465,458,412,418,432,484,469,626
O-6,事務所等,中央監視室,2444,2458,2975,3097,3349,3549,3752,4634
O-7,事務所等,更衣室又は倉庫,925,928,873,894,935,1016,1018,1283
O-8,事務所等,廊下,770,766,702,714,727,790,773,958
O-9,事務所等,ロビー,770,766,702,714,727,790,773,958
O-10,事務所等,便所,770,766,702,714,727,790,773,958
O-11,事務所等,喫煙室,770,766,702,714,727,790,773,958
O-12,事務所等,厨房,0,0,0,0,0,0,0,0
O-13,事務所等,屋内駐車場,0,0,0,0,0,0,0,0
O-14,事務所等,機械室,0,0,0,0,0,0,0,0
O-15,事務所等,電気室,0,0,0,0,0,0,0,0
O-16,事務所等,湯沸室等,0,0,0,0,0,0,0,0
O-17,事務所等,食品庫等,0,0,0,0,0,0,0,0
O-18,事務所等,印刷室等,0,0,0,0,0,0,0,0
O-19,事務所等,廃棄物保管場所等,0,0,0,0,0,0,0,0
H-1,ホテル等,客室,1752,1568,1156,1124,1137,1144,1092,1171
H-2,ホテル等,客室内の浴室等,1752,1568,1156,1124,1137,1144,1092,1171
H-3,ホテル等,終日利用されるフロント,4328,4235,4626,4723,5295,5458,5587,6757
H-4,ホテル等,終日利用される事務室,2471,2421,2517,2619,2879,3059,3285,4136
H-5,ホテル等,終日利用される廊下,2367,2311,2286,2346,2522,2580,2671,3310
H-6,ホテル等,終日利用されるロビー,4328,4235,4626,4723,5295,5458,5587,6757
H-7,ホテル等,終日利用される共用部の便所,4328,4235,4626,4723,5295,5458,5587,6757
H-8,ホテル等,終日利用される喫煙室,4328,4235,4626,4723,5295,5458,5587,6757
H-9,ホテル等,宴会場,4685,4793,5864,6134,6828,7133,7651,9590
H-10,ホテル等,会議室,4347,4319,4846,5082,5691,6020,6461,8085
H-11,ホテル等,結婚式場,4017,3966,4439,4587,5124,5344,5584,6859
H-12,ホテル等,レストラン,4557,4416,4281,4375,4770,4926,5120,6426
H-13,ホテル等,ラウンジ,3286,3232,3217,3269,3537,3699,3842,4729
H-14,ホテル等,バー,1507,1471,1394,1419,1509,1580,1603,1956
H-15,ホテル等,店舗,2420,2354,2352,2413,2643,2770,2907,3704
H-16,ホテル等,社員食堂,3906,3823,3852,3970,4303,4435,4646,5811
H-17,ホテル等,更衣室又は倉庫,3221,3149,3220,3307,3647,3791,3971,4904
H-18,ホテル等,日中のみ利用されるフロント,3178,3126,3476,3620,4014,4195,4442,5506
H-19,ホテル等,日中のみ利用される事務室,1596,1567,1711,1792,1960,2114,2298,2902
H-20,ホテル等,日中のみ利用される廊下,1657,1602,1476,1512,1589,1638,1694,2123
H-21,ホテル等,日中のみ利用されるロビー,3178,3126,3476,3620,4014,4195,4442,5506
H-22,ホテル等,日中のみ利用される共用部の便所,3178,3126,3476,3620,4014,4195,4442,5506
H-23,ホテル等,日中のみ利用される喫煙室,3178,3126,3476,3620,4014,4195,4442,5506
H-24,ホテル等,厨房,0,0,0,0,0,0,0,0
H-25,ホテル等,屋内駐車場,0,0,0,0,0,0,0,0
H-26,ホテル等,機械室,0,0,0,0,0,0,0,0
H-27,ホテル等,電気室,0,0,0,0,0,0,0,0
H-28,ホテル等,湯沸室等,0,0,0,0,0,0,0,0
H-29,ホテル等,食品庫等,0,0,0,0,0,0,0,0
H-30,ホテル等,印刷室等,0,0,0,0,0,0,0,0
H-31,ホテル等,廃棄物保管場所等,0,0,0,0,0,0,0,0
D-1,病院等,病室,2602,2393,1841,1813,1812,1824,1760,1970
D-2,病院等,浴室等,2602,2393,1841,1813,1812,1824,1760,1970
D-3,病院等,看護職員室,2419,2218,1763,1725,1731,1740,1715,1903
D-4,病院等,終日利用される廊下,2770,2582,1950,1942,1897,1918,1907,2093
D-5,病院等,終日利用されるロビー,2808,2602,1967,1963,1934,1950,1923,2138
D-6,病院等,終日利用される共用部の便所,2808,2602,1967,1963,1934,1950,1923,2138
D-7,病院等,終日利用される喫煙室,2808,2602,1967,1963,1934,1950,1923,2138
D-8,病院等,診察室,1020,990,818,837,823,883,871,1034
D-9,病院等,待合室,1020,990,818,837,823,883,871,1034
D-10,病院等,手術室,1486,1472,1119,1155,1147,1206,1166,1369
D-11,病院等,検査室,1486,1472,1119,1155,1147,1206,1166,1369
D-12,病院等,集中治療室,3529,3511,3922,4076,4544,4797,5034,6192
D-13,病院等,解剖室等,912,911,925,971,1045,1163,1201,1543
D-14,病院等,レストラン,2601,2570,2835,2926,3284,3424,3579,4347
D-15,病院等,事務室,912,911,925,971,1045,1163,1201,1543
D-16,病院等,更衣室又は倉庫,1194,1188,1148,1172,1261,1329,1351,1654
D-17,病院等,日中のみ利用される廊下,898,871,675,686,663,686,685,774
D-18,病院等,日中のみ利用されるロビー,961,930,713,719,693,728,708,818
D-19,病院等,日中のみ利用される共用部の便所,961,930,713,719,693,728,708,818
D-20,病院等,日中のみ利用される喫煙室,961,930,713,719,693,728,708,818
D-21,病院等,厨房,0,0,0,0,0,0,0,0
D-22,病院等,屋内駐車場,0,0,0,0,0,0,0,0
D-23,病院等,機械室,0,0,0,0,0,0,0,0
D-24,病院等,電気室,0,0,0,0,0,0,0,0
D-25,病院等,湯沸室等,0,0,0,0,0,0,0,0
D-26,病院等,食品庫等,0,0,0,0,0,0,0,0
D-27,病院等,印刷室等,0,0,0,0,0,0,0,0
D-28,病院等,廃棄物保管場所等,0,0,0,0,0,0,0,0
S-1,物品販売業を営む店舗等,大型店の売場,2555,2447,2048,2084,2091,2169,2158,2507
S-2,物品販売業を営む店舗等,専門店の売場,2555,2447,2048,2084,2091,2169,2158,2507
S-3,物品販売業を営む店舗等,スーパーマーケットの売場,2555,2447,2048,2084,2091,2169,2158,2507
S-4,物品販売業を営む店舗等,荷さばき場,1042,984,781,784,777,819,819,920
