キー,建物用途名称,室用途名称,床面積あたりの基準一次エネルギー消費量
O-1,事務所等,事務室,0
O-2,事務所等,電子計算機器事務室,0
O-3,事務所等,会議室,0
O-4,事務所等,喫茶室,0
O-5,事務所等,社員食堂,0
O-6,事務所等,中央監視室,0
O-7,事務所等,更衣室又は倉庫,138
O-8,事務所等,廊下,0
O-9,事務所等,ロビー,0
O-10,事務所等,便所,413
O-11,事務所等,喫煙室,826
O-12,事務所等,厨房,3514
O-13,事務所等,屋内駐車場,1366
O-14,事務所等,機械室,769
O-15,事務所等,電気室,1539
O-16,事務所等,湯沸室等,88
O-17,事務所等,食品庫等,176
O-18,事務所等,印刷室等,176
O-19,事務所等,廃棄物保管場所等,527
H-1,ホテル等,客室,0
H-2,ホテル等,客室内の浴室等,385
H-3,ホテル等,終日利用されるフロント,0
H-4,ホテル等,終日利用される事務室,0
H-5,ホテル等,終日利用される廊下,0
H-6,ホテル等,終日利用されるロビー,0
H-7,ホテル等,終日利用される共用部の便所,1154
H-8,ホテル等,終日利用される喫煙室,2308
H-9,ホテル等,宴会場,0
H-10,ホテル等,会議室,0
H-11,ホテル等,結婚式場,0
H-12,ホテル等,レストラン,0
H-13,ホテル等,ラウンジ,0
H-14,ホテル等,バー,0
H-15,ホテル等,店舗,0
H-16,ホテル等,社員食堂,0
H-17,ホテル等,更衣室又は倉庫,385
H-18,ホテル等,日中のみ利用されるフロント,0
H-19,ホテル等,日中のみ利用される事務室,0
H-20,ホテル等,日中のみ利用される廊下,0
H-21,ホテル等,日中のみ利用されるロビー,0
H-22,ホテル等,日中のみ利用される共用部の便所,625
H-23,ホテル等,日中のみ利用される喫煙室,1250
H-24,ホテル等,厨房,5622
H-25,ホテル等,屋内駐車場,3420
H-26,ホテル等,機械室,769
H-27,ホテル等,電気室,1539
H-28,ホテル等,湯沸室等,141
H-29,ホテル等,食品庫等,281
H-30,ホテル等,印刷室等,281
H-31,ホテル等,廃棄物保管場所等,843
D-1,病院等,病室,0
D-2,病院等,浴室等,616
D-3,病院等,看護職員室,0
D-4,病院等,終日利用される廊下,0
D-5,病院等,終日利用されるロビー,0
D-6,病院等,終日利用される共用部の便所,1154
D-7,病院等,終日利用される喫煙室,2308
D-8,病院等,診察室,0
D-9,病院等,待合室,0
D-10,病院等,手術室,0
D-11,病院等,検査室,0
D-12,病院等,集中治療室,0
D-13,病院等,解剖室等,0
D-14,病院等,レストラン,0
D-15,病院等,事務室,0
D-16,病院等,更衣室又は倉庫,128
D-17,病院等,日中のみ利用される廊下,0
D-18,病院等,日中のみ利用されるロビー,0
D-19,病院等,日中のみ利用される共用部の便所,385
D-20,病院等,日中のみ利用される喫煙室,769
D-21,病院等,厨房,9662
D-22,病院等,屋内駐車場,3420
D-23,病院等,機械室,769
D-24,病院等,電気室,1539
D-25,病院等,湯沸室等,242
D-26,病院等,食品庫等,483
D-27,病院等,印刷室等,483
D-28,病院等,廃棄物保管場所等,1449
S-1,物品販売業を営む店舗等,大型店の売場,0
S-2,物品販売業を営む店舗等,専門店の売場,0
S-3,物品販売業を営む店舗等,スーパーマーケットの売場,0
S-4,物品販売業を営む店舗等,荷さばき場,0
S-5,物品販売業を営む店舗等,事務室,0
S-6,物品販売業を営む店舗等,更衣室又は倉庫,208
S-7,物品販売業を営む店舗等,ロビー,0
S-8,物品販売業を営む店舗等,便所,625
S-9,物品販売業を営む店舗等,喫煙室,1250
S-10,物品販売業を営む店舗等,厨房,5973
S-11,物品販売業を営む店舗等,屋内駐車場,2147
S-12,物品販売業を営む店舗等,機械室,769
S-13,物品販売業を営む店舗等,電気室,1539
S-14,物品販売業を営む店舗等,湯沸室等,149
S-15,物品販売業を営む店舗等,食品庫等,299
S-16,物品販売業を営む店舗等,印刷室等,299
S-17,物品販売業を営む店舗等,廃棄物保管場所等,896
E-1,学校等,小中学校の教室,0
E-2,学校等,高等学校の教室,0
E-3,学校等,職員室,0
E-4,学校等,小中学校又は高等学校の食堂,0
E-5,学校等,大学の教室,0
E-6,学校等,大学の食堂,0
E-7,学校等,事務室,0
E-8,学校等,研究室,0
E-9,学校等,電子計算機器演習室,0
E-10,学校等,実験室,0
E-11,学校等,実習室,0
E-12,学校等,講堂又は体育館,0
E-13,学校等,宿直室,385
E-14,学校等,更衣室又は倉庫,106
E-15,学校等,廊下,0
