キー,建物用途名称,室用途名称,床面積あたりの基準一次エネルギー消費量
O-1,事務所等,事務室,498
O-2,事務所等,電子計算機器事務室,498
O-3,事務所等,会議室,231
O-4,事務所等,喫茶室,254
O-5,事務所等,社員食堂,141
O-6,事務所等,中央監視室,1171
O-7,事務所等,更衣室又は倉庫,202
O-8,事務所等,廊下,245
O-9,事務所等,ロビー,547
O-10,事務所等,便所,367
O-11,事務所等,喫煙室,202
O-12,事務所等,厨房,322
O-13,事務所等,屋内駐車場,123
O-14,事務所等,機械室,10
O-15,事務所等,電気室,10
O-16,事務所等,湯沸室等,64
O-17,事務所等,食品庫等,70
O-18,事務所等,印刷室等,106
O-19,事務所等,廃棄物保管場所等,35
H-1,ホテル等,客室,308
H-2,ホテル等,客室内の浴室等,342
H-3,ホテル等,終日利用されるフロント,1710
H-4,ホテル等,終日利用される事務室,1394
H-5,ホテル等,終日利用される廊下,513
H-6,ホテル等,終日利用されるロビー,1026
H-7,ホテル等,終日利用される共用部の便所,1026
H-8,ホテル等,終日利用される喫煙室,564
H-9,ホテル等,宴会場,1282
H-10,ホテル等,会議室,1282
H-11,ホテル等,結婚式場,1282
H-12,ホテル等,レストラン,556
H-13,ホテル等,ラウンジ,598
H-14,ホテル等,バー,128
H-15,ホテル等,店舗,638
H-16,ホテル等,社員食堂,997
H-17,ホテル等,更衣室又は倉庫,564
H-18,ホテル等,日中のみ利用されるフロント,926
H-19,ホテル等,日中のみ利用される事務室,871
H-20,ホテル等,日中のみ利用される廊下,278
H-21,ホテル等,日中のみ利用されるロビー,556
H-22,ホテル等,日中のみ利用される共用部の便所,556
H-23,ホテル等,日中のみ利用される喫煙室,306
H-24,ホテル等,厨房,515
H-25,ホテル等,屋内駐車場,308
H-26,ホテル等,機械室,15
H-27,ホテル等,電気室,15
H-28,ホテル等,湯沸室等,103
H-29,ホテル等,食品庫等,112
H-30,ホテル等,印刷室等,170
H-31,ホテル等,廃棄物保管場所等,56
D-1,病院等,病室,514
D-2,病院等,浴室等,598
D-3,病院等,看護職員室,813
