用途記号,洗面,シャワー,台所,その他,単位,人密度
O-1,3.8,0.0,0.0,0.0,L / 人 d,0.1
O-2,3.8,0.0,0.0,0.0,L / 人 d,0.1
O-3,3.8,0.0,0.0,0.0,L / 人 d,0.25
O-4,0.0,0.0,32.0,0.0,L / |m2| d,－
O-5,0.0,0.0,48.0,0.0,L / |m2| d,－
O-6,3.8,0.0,0.0,0.0,L / 人 d,0.15
O-7,0.0,62.0,0.0,0.0,L / 人 d,0.3
O-9,3.8,0.0,0.0,0.0,L / 人 d,0.03
H-1,0.0,79.0,0.0,86.0,L / 人 d,0.07
H-2,0.0,79.0,0.0,86.0,L / 人 d,0.07
H-4,3.8,0.0,0.0,0.0,L / 人 d,0.2
H-6,3.8,0.0,0.0,0.0,L / 人 d,0.1
H-9,3.8,0.0,0.0,0.0,L / 人 d,0.7
H-10,3.8,0.0,0.0,0.0,L / 人 d,0.7
H-11,3.8,0.0,0.0,0.0,L / 人 d,0.3
H-12,0.0,0.0,48.0,0.0,L / |m2| d,－
H-13,3.8,0.0,0.0,0.0,L / 人 d,0.2
H-14,3.8,0.0,0.0,0.0,L / 人 d,0.2
H-15,3.8,0.0,0.0,0.0,L / 人 d,0.1
H-16,0.0,0.0,48.0,0.0,L / |m2| d,－
H-17,0.0,62.0,0.0,0.0,L / 人 d,0.1
H-19,3.8,0.0,0.0,0.0,L / 人 d,0.2
H-21,3.8,0.0,0.0,0.0,L / 人 d,0.2
D-1,0.0,21.0,0.0,263.2,L / 床 d,0.08
D-2,0.0,21.0,0.0,263.2,L / 床 d,0.08
D-3,0.0,0.0,0.0,3.3,L / |m2| d,－
D-5,3.8,0.0,0.0,0.0,L / 人 d,0.05
D-8,0.0,0.0,0.0,3.3,L / |m2| d,－
D-9,0.0,0.0,0.0,3.3,L / |m2| d,－
D-10,0.0,0.0,0.0,6.3,L / |m2| d,－
D-11,0.0,0.0,0.0,6.3,L / |m2| d,－
D-12,0.0,0.0,0.0,6.3,L / |m2| d,－
D-13,3.8,0.0,0.0,0.0,L / 人 d,0.2
D-14,0.0,0.0,48.0,0.0,L / |m2| d,－
D-15,3.8,0.0,0.0,0.0,L / 人 d,0.2
D-16,0.0,62.0,0.0,0.0,L / 人 d,0.1
D-18,3.8,0.0,0.0,0.0,L / 人 d,0.05
S-1,3.8,0.0,0.0,0.0,L / 人 d,0.2
S-2,3.8,0.0,0.0,0.0,L / 人 d,0.2
S-3,3.8,0.0,0.0,0.0,L / 人 d,0.2
S-4,3.8,0.0,0.0,0.0,L / 人 d,0.1
S-5,3.8,0.0,0.0,0.0,L / 人 d,0.2
S-6,0.0,62.0,0.0,0.0,L / 人 d,0.1
S-7,3.8,0.0,0.0,0.0,L / 人 d,0.1
E-1,3.8,0.0,6.2,0.0,L / 人 d,0.5
E-2,3.8,0.0,0.0,0.0,L / 人 d,0.5
E-3,3.8,0.0,0.0,0.0,L / 人 d,0.2
E-4,0.0,0.0,32.0,0.0,L / |m2| d,－
E-5,3.8,0.0,0.0,0.0,L / 人 d,0.5
E-6,0.0,0.0,48.0,0.0,L / |m2| d,－
E-7,3.8,0.0,0.0,0.0,L / 人 d,0.2
E-8,3.8,0.0,0.0,0.0,L / 人 d,0.2
E-9,3.8,0.0,0.0,0.0,L / 人 d,0.5
E-10,3.8,0.0,0.0,0.0,L / 人 d,0.5
E-11,3.8,0.0,0.0,0.0,L / 人 d,0.5
E-12,3.8,0.0,0.0,0.0,L / 人 d,0.7
E-13,0.0,62.0,0.0,103.0,L / 人 d,0.07
E-14,0.0,62.0,0.0,0.0,L / 人 d,0.1
E-16,3.8,0.0,0.0,0.0,L / 人 d,0.2
R-1,0.0,0.0,48.0,0.0,L / |m2| d,－
R-2,0.0,0.0,16.0,0.0,L / |m2| d,－
R-3,0.0,0.0,32.0,0.0,L / |m2| d,－
R-4,0.0,0.0,32.0,0.0,L / |m2| d,－
R-6,3.8,0.0,0.0,0.0,L / 人 d,0.1
R-7,0.0,62.0,0.0,0.0,L / 人 d,0.1
R-9,3.8,0.0,0.0,0.0,L / 人 d,0.1
M-1,0.0,62.0,0.0,0.0,L / 人 d,0.3
M-2,3.8,0.0,0.0,0.0,L / 人 d,0.1
M-5,0.0,62.0,0.0,0.0,L / 人 d,0.1
M-6,0.0,62.0,0.0,0.0,L / 人 d,0.1
M-7,0.0,62.0,0.0,0.0,L / 人 d,0.1
M-8,0.0,62.0,0.0,0.0,L / 人 d,0.1
M-9,0.0,62.0,0.0,0.0,L / 人 d,0.1
M-10,0.0,62.0,0.0,0.0,L / 人 d,0.1
M-11,3.8,0.0,0.0,0.0,L / 人 d,0.4
M-12,3.8,0.0,0.0,0.0,L / 人 d,0.1
M-15,0.0,62.0,0.0,238.0,L / 人 d,0.2
M-16,0.0,62.0,0.0,238.0,L / 人 d,0.2
M-17,3.8,0.0,0.0,0.0,L / 人 d,0.2
M-18,3.8,0.0,0.0,0.0,L / 人 d,0.2
M-21,3.8,0.0,0.0,0.0,L / 人 d,1.0
M-22,3.8,0.0,0.0,0.0,L / 人 d,0.1
M-25,3.8,0.0,0.0,0.0,L / 人 d,0.2
M-26,3.8,0.0,0.0,0.0,L / 人 d,0.2
M-29,3.8,0.0,0.0,0.0,L / 人 d,0.03
M-30,3.8,0.0,0.0,0.0,L / 人 d,0.2
M-33,3.8,0.0,0.0,0.0,L / 人 d,0.2
