キー,建物用途,室用途,カレンダーパターン
O-1,事務所等,事務室,A
O-2,事務所等,電子計算機器事務室,A
O-3,事務所等,会議室,A
O-4,事務所等,喫茶室,A
O-5,事務所等,社員食堂,A
O-6,事務所等,中央監視室,A
O-7,事務所等,更衣室又は倉庫,A
O-8,事務所等,廊下,A
O-9,事務所等,ロビー,A
O-10,事務所等,便所,A
O-11,事務所等,喫煙室,A
O-12,事務所等,厨房,A
O-13,事務所等,屋内駐車場,A
O-14,事務所等,機械室,A
O-15,事務所等,電気室,A
O-16,事務所等,湯沸室等,A
O-17,事務所等,食品庫等,A
O-18,事務所等,印刷室等,A
O-19,事務所等,廃棄物保管場所等,A
H-1,ホテル等,客室,A
H-2,ホテル等,客室内の浴室等,A
H-3,ホテル等,終日利用されるフロント,A
H-4,ホテル等,終日利用される事務室,A
H-5,ホテル等,終日利用される廊下,A
H-6,ホテル等,終日利用されるロビー,A
H-7,ホテル等,終日利用される共用部の便所,A
H-8,ホテル等,終日利用される喫煙室,A
H-9,ホテル等,宴会場,A
H-10,ホテル等,会議室,A
H-11,ホテル等,結婚式場,A
H-12,ホテル等,レストラン,A
H-13,ホテル等,ラウンジ,A
H-14,ホテル等,バー,A
H-15,ホテル等,店舗,A
H-16,ホテル等,社員食堂,A
H-17,ホテル等,更衣室又は倉庫,A
H-18,ホテル等,日中のみ利用されるフロント,A
H-19,ホテル等,日中のみ利用される事務室,A
H-20,ホテル等,日中のみ利用される廊下,A
H-21,ホテル等,日中のみ利用されるロビー,A
H-22,ホテル等,日中のみ利用される共用部の便所,A
H-23,ホテル等,日中のみ利用される喫煙室,A
H-24,ホテル等,厨房,A
H-25,ホテル等,屋内駐車場,A
H-26,ホテル等,機械室,A
H-27,ホテル等,電気室,A
H-28,ホテル等,湯沸室等,A
H-29,ホテル等,食品庫等,A
H-30,ホテル等,印刷室等,A
H-31,ホテル等,廃棄物保管場所等,A
D-1,病院等,病室,A
D-2,病院等,浴室等,A
D-3,病院等,看護職員室,A
D-4,病院等,終日利用される廊下,A
D-5,病院等,終日利用されるロビー,A
D-6,病院等,終日利用される共用部の便所,A
D-7,病院等,終日利用される喫煙室,A
D-8,病院等,診察室,A
D-9,病院等,待合室,A
D-10,病院等,手術室,A
D-11,病院等,検査室,A
D-12,病院等,集中治療室,A
D-13,病院等,解剖室等,A
D-14,病院等,レストラン,A
D-15,病院等,事務室,A
D-16,病院等,更衣室又は倉庫,A
D-17,病院等,日中のみ利用される廊下,A
D-18,病院等,日中のみ利用されるロビー,A
