カレンダーパターン検索番号,日付,曜日,パターンA,パターンB,パターンC,パターンD,パターンE,パターンF
1,1月1日,木,3,3,3,3,3,3
2,1月2日,金,3,3,3,3,3,3
3,1月3日,土,3,3,3,3,3,2
4,1月4日,日,3,2,2,2,2,2
5,1月5日,月,1,2,2,3,3,1
6,1月6日,火,1,2,2,1,1,1
7,1月7日,水,1,2,2,1,1,1
8,1月8日,木,1,2,2,1,1,1
9,1月9日,金,1,2,2,1,1,1
10,1月10日,土,2,2,2,2,2,2
11,1月11日,日,3,2,2,2,2,2
12,1月12日,月,3,2,2,2,2,2
13,1月13日,火,1,1,1,1,3,1
14,1月14日,水,1,1,1,1,1,1
15,1月15日,木,1,1,1,1,1,1
16,1月16日,金,1,1,1,1,1,1
17,1月17日,土,2,2,2,2,2,2
18,1月18日,日,3,2,2,2,2,2
19,1月19日,月,1,1,1,1,3,3
20,1月20日,火,1,1,1,1,1,3
21,1月21日,水,1,1,1,1,1,3
22,1月22日,木,1,1,1,1,1,3
23,1月23日,金,1,1,1,1,1,3
24,1月24日,土,2,2,2,2,2,2
25,1月25日,日,3,2,2,2,2,2
26,1月26日,月,1,1,1,1,3,3
27,1月27日,火,1,1,1,1,1,3
28,1月28日,水,1,1,1,1,1,3
29,1月29日,木,1,1,1,1,1,3
30,1月30日,金,1,1,1,1,1,3
31,1月31日,土,2,2,2,2,2,2
32,2月1日,日,3,2,2,2,2,2
33,2月2日,月,1,1,1,3,3,1
34,2月3日,火,1,1,1,1,1,1
35,2月4日,水,1,1,1,1,1,1
36,2月5日,木,1,1,1,1,1,1
37,2月6日,金,1,1,1,1,1,1
38,2月7日,土,2,2,2,2,2,2
39,2月8日,日,3,2,2,2,2,2
40,2月9日,月,1,1,1,1,3,1
41,2月10日,火,1,1,1,1,1,1
42,2月11日,水,3,2,2,2,2,2
43,2月12日,木,1,1,1,1,1,1
44,2月13日,金,1,1,1,1,1,1
45,2月14日,土,2,2,2,2,2,2
46,2月15日,日,3,2,2,2,2,2
47,2月16日,月,1,1,1,1,3,1
48,2月17日,火,1,1,1,1,1,1
49,2月18日,水,1,1,1,1,1,1
50,2月19日,木,1,1,1,1,1,1
51,2月20日,金,1,1,1,1,1,1
52,2月21日,土,2,2,2,2,2,2
53,2月22日,日,3,2,2,2,2,2
54,2月23日,月,1,1,2,1,3,3
55,2月24日,火,1,1,2,1,1,3
56,2月25日,水,1,1,2,1,1,3
57,2月26日,木,1,1,2,1,1,3
58,2月27日,金,1,1,2,1,1,3
59,2月28日,土,2,2,2,2,2,2
60,3月1日,日,3,2,2,2,2,2
61,3月2日,月,1,1,2,3,3,3
62,3月3日,火,1,1,2,1,1,3
63,3月4日,水,1,1,2,1,1,3
64,3月5日,木,1,1,2,1,1,3
65,3月6日,金,1,1,2,1,1,3
66,3月7日,土,2,2,2,2,2,2
67,3月8日,日,3,2,2,2,2,2
68,3月9日,月,1,1,2,1,3,1
69,3月10日,火,1,1,2,1,1,1
70,3月11日,水,1,1,2,1,1,1
71,3月12日,木,1,1,2,1,1,1
72,3月13日,金,1,1,2,1,1,1
73,3月14日,土,2,2,2,2,2,2
74,3月15日,日,3,2,2,2,2,2
75,3月16日,月,1,1,2,1,3,1
76,3月17日,火,1,1,2,1,1,1
77,3月18日,水,1,1,2,1,1,1
78,3月19日,木,1,1,2,1,1,1
79,3月20日,金,3,2,2,2,2,2
80,3月21日,土,2,2,2,2,2,2
81,3月22日,日,3,2,2,2,2,2
82,3月23日,月,1,2,2,1,3,3
83,3月24日,火,1,2,2,1,1,3
84,3月25日,水,1,2,2,1,1,3
85,3月26日,木,1,2,2,1,1,3
86,3月27日,金,1,2,2,1,1,3
87,3月28日,土,2,2,2,2,2,2
88,3月29日,日,3,2,2,2,2,2
89,3月30日,月,1,2,2,1,3,3
90,3月31日,火,1,2,2,1,1,3
91,4月1日,水,1,2,2,1,1,3
92,4月2日,木,1,2,2,1,1,3
93,4月3日,金,1,2,2,1,1,3
94,4月4日,土,2,2,2,2,2,2
