検索キー特定用識別子,検索キー,建物用途コード,室分類コード,建物用途名称,室用途名称,室用途名略称１,室用途名略称２,室用途名略称３
事務所等事務室,O-1,Office,OfficeRoom,事務所等,事務室,,,
事務所等電子計算機器事務室,O-2,Office,ComputerRoom,事務所等,電子計算機器事務室,電算事務室,,
事務所等会議室,O-3,Office,MeetingRoom,事務所等,会議室,,,
事務所等喫茶室,O-4,Office,TeaRoom,事務所等,喫茶室,,,
事務所等社員食堂,O-5,Office,Canteen,事務所等,社員食堂,,,
事務所等中央監視室,O-6,Office,CentralMonitoringRoom,事務所等,中央監視室,,,
事務所等更衣室又は倉庫,O-7,Office,LockerRoom,事務所等,更衣室又は倉庫,更衣室・倉庫,更衣室,倉庫
事務所等廊下,O-8,Office,Corridor,事務所等,廊下,,,
事務所等ロビー,O-9,Office,Lobby,事務所等,ロビー,,,
事務所等便所,O-10,Office,Toilet,事務所等,便所,,,
事務所等喫煙室,O-11,Office,SmokingRoom,事務所等,喫煙室,,,
事務所等厨房,O-12,Office,Kitchen,事務所等,厨房,,,
事務所等屋内駐車場,O-13,Office,IndoorParking,事務所等,屋内駐車場,,,
事務所等機械室,O-14,Office,MechanicalRoom,事務所等,機械室,,,
事務所等電気室,O-15,Office,ElectricalRoom,事務所等,電気室,,,
事務所等湯沸室等,O-16,Office,Kitchenette,事務所等,湯沸室等,,,
事務所等食品庫等,O-17,Office,StorageRoom,事務所等,食品庫等,,,
事務所等印刷室等,O-18,Office,CopyRoom,事務所等,印刷室等,,,
事務所等廃棄物保管場所等,O-19,Office,GarbageStorage,事務所等,廃棄物保管場所等,ゴミ置場等,,
ホテル等客室,H-1,Hotel,GuestRoom,ホテル等,客室,,,
ホテル等客室内の浴室等,H-2,Hotel,BathroomInGuestRoom,ホテル等,客室内の浴室等,客室内浴室等,,
ホテル等終日利用されるフロント,H-3,Hotel,FrontDesk_AllDay,ホテル等,終日利用されるフロント,フロント(終日),,
ホテル等終日利用される事務室,H-4,Hotel,OfficeRoom_AllDay,ホテル等,終日利用される事務室,事務室(終日),,
ホテル等終日利用される廊下,H-5,Hotel,Corridor_AllDay,ホテル等,終日利用される廊下,廊下(終日),,
ホテル等終日利用されるロビー,H-6,Hotel,Lobby_AllDay,ホテル等,終日利用されるロビー,ロビー(終日),,
ホテル等終日利用される共用部の便所,H-7,Hotel,Toilet_AllDay,ホテル等,終日利用される共用部の便所,便所(終日),,
ホテル等終日利用される喫煙室,H-8,Hotel,SmokingRoom_AllDay,ホテル等,終日利用される喫煙室,喫煙室(終日),,
ホテル等宴会場,H-9,Hotel,BanquetHall,ホテル等,宴会場,,,
ホテル等会議室,H-10,Hotel,ConferenceRoom,ホテル等,会議室,,,
ホテル等結婚式場,H-11,Hotel,WeddingHall,ホテル等,結婚式場,,,
ホテル等レストラン,H-12,Hotel,Restaurant,ホテル等,レストラン,,,
ホテル等ラウンジ,H-13,Hotel,Lounge,ホテル等,ラウンジ,,,
ホテル等バー,H-14,Hotel,Bar,ホテル等,バー,,,
ホテル等店舗,H-15,Hotel,Shop,ホテル等,店舗,,,
ホテル等社員食堂,H-16,Hotel,Canteen,ホテル等,社員食堂,,,
ホテル等更衣室又は倉庫,H-17,Hotel,LockerRoom,ホテル等,更衣室又は倉庫,更衣室・倉庫,更衣室,倉庫
ホテル等日中のみ利用されるフロント,H-18,Hotel,FrontDesk_Daytime,ホテル等,日中のみ利用されるフロント,フロント(日中),,
