UsageKey,BuildingName,RoomName,RoomNameShort1,RoomNameShort2,RoomNameShort3
O-1,事務所等,事務室,nan,nan,nan
O-2,事務所等,電子計算機器事務室,電算事務室,nan,nan
O-3,事務所等,会議室,nan,nan,nan
O-4,事務所等,喫茶室,nan,nan,nan
O-5,事務所等,社員食堂,nan,nan,nan
O-6,事務所等,中央監視室,nan,nan,nan
O-7,事務所等,更衣室又は倉庫,更衣室・倉庫,更衣室,倉庫
O-8,事務所等,廊下,nan,nan,nan
O-9,事務所等,ロビー,nan,nan,nan
O-10,事務所等,便所,nan,nan,nan
O-11,事務所等,喫煙室,nan,nan,nan
O-12,事務所等,厨房,nan,nan,nan
O-13,事務所等,屋内駐車場,nan,nan,nan
O-14,事務所等,機械室,nan,nan,nan
O-15,事務所等,電気室,nan,nan,nan
O-16,事務所等,湯沸室等,nan,nan,nan
O-17,事務所等,食品庫等,nan,nan,nan
O-18,事務所等,印刷室等,nan,nan,nan
O-19,事務所等,廃棄物保管場所等,ゴミ置場等,nan,nan
H-1,ホテル等,客室,nan,nan,nan
H-2,ホテル等,客室内の浴室等,客室内浴室等,nan,nan
H-3,ホテル等,終日利用されるフロント,フロント(終日),nan,nan
H-4,ホテル等,終日利用される事務室,事務室(終日),nan,nan
H-5,ホテル等,終日利用される廊下,廊下(終日),nan,nan
H-6,ホテル等,終日利用されるロビー,ロビー(終日),nan,nan
H-7,ホテル等,終日利用される共用部の便所,便所(終日),nan,nan
H-8,ホテル等,終日利用される喫煙室,喫煙室(終日),nan,nan
H-9,ホテル等,宴会場,nan,nan,nan
H-10,ホテル等,会議室,nan,nan,nan
H-11,ホテル等,結婚式場,nan,nan,nan
H-12,ホテル等,レストラン,nan,nan,nan
H-13,ホテル等,ラウンジ,nan,nan,nan
H-14,ホテル等,バー,nan,nan,nan
H-15,ホテル等,店舗,nan,nan,nan
H-16,ホテル等,社員食堂,nan,nan,nan
H-17,ホテル等,更衣室又は倉庫,更衣室・倉庫,更衣室,倉庫
H-18,ホテル等,日中のみ利用されるフロント,フロント(日中),nan,nan
H-19,ホテル等,日中のみ利用される事務室,事務室(日中),nan,nan
H-20,ホテル等,日中のみ利用される廊下,廊下(日中),nan,nan
H-21,ホテル等,日中のみ利用されるロビー,ロビー(日中),nan,nan
H-22,ホテル等,日中のみ利用される共用部の便所,便所(日中),nan,nan
H-23,ホテル等,日中のみ利用される喫煙室,喫煙室(日中),nan,nan
H-24,ホテル等,厨房,nan,nan,nan
H-25,ホテル等,屋内駐車場,nan,nan,nan
H-26,ホテル等,機械室,nan,nan,nan
H-27,ホテル等,電気室,nan,nan,nan
