キー,建物用途,室用途,基準,洗面,シャワー,台所,その他,単位,密度
O-1,事務所等,事務室,3.8,3.8,0.0,0.0,0.0,L/人日,0.1
O-2,事務所等,電子計算機器事務室,3.8,3.8,0.0,0.0,0.0,L/人日,0.1
O-3,事務所等,会議室,3.8,3.8,0.0,0.0,0.0,L/人日,0.25
O-4,事務所等,喫茶室,32.0,0.0,0.0,32.0,0.0,L/m2日,0.25
O-5,事務所等,社員食堂,48.0,0.0,0.0,48.0,0.0,L/m2日,0.5
O-6,事務所等,中央監視室,3.8,3.8,0.0,0.0,0.0,L/人日,0.15
O-7,事務所等,更衣室又は倉庫,62.0,0.0,62.0,0.0,0.0,L/人日,0.3
O-9,事務所等,ロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.03
H-1,ホテル等,客室,165.0,0.0,79.0,0.0,86.0,L/人日,0.07
H-2,ホテル等,客室内の浴室等,165.0,0.0,79.0,0.0,86.0,L/人日,0.07
H-4,ホテル等,終日利用される事務室,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
H-6,ホテル等,終日利用されるロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.1
H-9,ホテル等,宴会場,3.8,3.8,0.0,0.0,0.0,L/人日,0.7
H-10,ホテル等,会議室,3.8,3.8,0.0,0.0,0.0,L/人日,0.7
H-11,ホテル等,結婚式場,3.8,3.8,0.0,0.0,0.0,L/人日,0.3
H-12,ホテル等,レストラン,48.0,0.0,0.0,48.0,0.0,L/m2日,0.5
H-13,ホテル等,ラウンジ,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
H-14,ホテル等,バー,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
H-15,ホテル等,店舗,3.8,3.8,0.0,0.0,0.0,L/人日,0.1
H-16,ホテル等,社員食堂,48.0,0.0,0.0,48.0,0.0,L/m2日,0.5
H-17,ホテル等,更衣室又は倉庫,62.0,0.0,62.0,0.0,0.0,L/人日,0.1
H-19,ホテル等,日中のみ利用される事務室,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
H-21,ホテル等,日中のみ利用されるロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
D-1,病院等,病室,284.2,0.0,21.0,0.0,263.2,L/床日,0.08
D-2,病院等,浴室等,284.2,0.0,21.0,0.0,263.2,L/床日,0.08
D-3,病院等,看護職員室,3.3,0.0,0.0,0.0,3.3,L/m2日,0.08
D-5,病院等,終日利用されるロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.05
D-8,病院等,診察室,3.3,0.0,0.0,0.0,3.3,L/m2日,0.2
D-9,病院等,待合室,3.3,0.0,0.0,0.0,3.3,L/m2日,0.2
D-10,病院等,手術室,6.3,0.0,0.0,0.0,6.3,L/m2日,0.1
D-11,病院等,検査室,6.3,0.0,0.0,0.0,6.3,L/m2日,0.1
D-12,病院等,集中治療室,6.3,0.0,0.0,0.0,6.3,L/m2日,0.1
D-13,病院等,解剖室等,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
D-14,病院等,レストラン,48.0,0.0,0.0,48.0,0.0,L/m2日,0.1
D-15,病院等,事務室,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
D-16,病院等,更衣室又は倉庫,62.0,0.0,62.0,0.0,0.0,L/人日,0.1
D-18,病院等,日中のみ利用されるロビー,3.8,3.8,0.0,0.0,0.0,L/人日,0.05
S-1,物品販売業を営む店舗等,大型店の売場,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
S-2,物品販売業を営む店舗等,専門店の売場,3.8,3.8,0.0,0.0,0.0,L/人日,0.2
